id,similar_projects_ids
1,"32, 30, 8, 14, 19, 122, 46, 23, 1, 104"
2,"12, 122, 10, 104, 100, 53, 131, 106, 136, 135"
3,"12, 21, 65, 18, 3, 10, 84, 16, 46, 4"
4,"21, 65, 18, 2, 46, 113, 16, 78, 12, 98"
5,"10, 72, 122, 37, 104, 97, 136, 84, 63, 124"
6,"124, 46, 75, 65, 21, 95, 68, 48, 133, 113"
7,"73, 118, 48, 18, 27, 104, 19, 69, 10, 130"
8,"108, 89, 74, 64, 62, 53, 103, 88, 52, 71"
9,"32, 30, 14, 0, 19, 47, 84, 10, 122, 12"
10,"24, 50, 60, 62, 87, 111, 53, 100, 28, 129"
11,"72, 104, 84, 4, 106, 6, 97, 37, 124, 122"
12,"41, 17, 132, 28, 39, 96, 22, 38, 52, 117"
13,"2, 65, 77, 46, 1, 18, 122, 4, 48, 10"
14,"104, 26, 10, 36, 38, 84, 85, 56, 62, 72"
15,"30, 8, 19, 32, 47, 104, 0, 122, 84, 75"
16,"27, 73, 130, 48, 118, 69, 104, 18, 6, 75"
17,"28, 33, 96, 75, 97, 87, 53, 50, 132, 41"
18,"96, 11, 45, 67, 39, 36, 16, 91, 107, 123"
19,"27, 3, 6, 48, 130, 73, 2, 95, 118, 15"
20,"47, 14, 6, 30, 8, 69, 26, 32, 97, 18"
21,"91, 49, 67, 28, 107, 11, 17, 22, 45, 56"
22,"3, 2, 65, 16, 84, 72, 46, 5, 6, 33"
23,"96, 67, 28, 11, 17, 16, 56, 38, 49, 97"
24,"45, 56, 131, 119, 121, 86, 38, 62, 91, 96"
25,"87, 60, 100, 62, 111, 129, 115, 50, 9, 93"
26,"26, 134, 75, 92, 30, 32, 95, 96, 122, 23"
27,"25, 104, 84, 13, 62, 122, 50, 85, 19, 74"
28,"73, 18, 118, 15, 6, 130, 104, 92, 69, 48"
29,"16, 87, 62, 96, 97, 33, 75, 88, 11, 53"
30,"92, 136, 4, 55, 115, 86, 43, 124, 63, 113"
31,"32, 8, 14, 41, 0, 47, 52, 19, 104, 79"
32,"72, 97, 130, 13, 104, 75, 124, 134, 83, 10"
33,"0, 8, 30, 14, 97, 19, 104, 136, 25, 95"
34,"16, 41, 28, 50, 66, 97, 46, 53, 85, 21"
35,"85, 61, 100, 55, 115, 93, 69, 60, 50, 87"
36,"130, 115, 34, 50, 24, 93, 15, 85, 46, 76"
37,"60, 85, 45, 50, 75, 96, 17, 108, 16, 62"
38,"97, 122, 72, 4, 84, 104, 10, 75, 47, 128"
39,"91, 117, 127, 98, 39, 106, 56, 28, 23, 96"
40,"67, 38, 11, 17, 107, 76, 16, 131, 121, 136"
41,"77, 119, 12, 3, 16, 131, 121, 34, 26, 85"
42,"52, 79, 132, 30, 11, 33, 116, 16, 66, 28"
43,"132, 67, 49, 136, 16, 123, 91, 17, 117, 121"
44,"44, 23, 121, 45, 55, 29, 86, 131, 106, 40"
45,"43, 136, 98, 106, 63, 55, 4, 93, 29, 34"
46,"23, 49, 36, 67, 56, 17, 96, 28, 91, 16"
47,"113, 68, 101, 65, 102, 12, 108, 85, 5, 84"
48,"19, 30, 14, 8, 6, 37, 69, 26, 84, 122"
49,"118, 69, 6, 73, 18, 15, 75, 65, 113, 104"
50,"67, 132, 45, 76, 123, 121, 136, 127, 36, 107"
51,"60, 62, 87, 115, 111, 85, 100, 119, 61, 24"
52,"53, 24, 109, 135, 71, 90, 87, 94, 93, 88"
53,"41, 79, 30, 132, 7, 116, 11, 28, 112, 120"
54,"103, 7, 108, 71, 87, 16, 62, 89, 61, 28"
55,"75, 102, 132, 113, 42, 137, 46, 106, 97, 117"
56,"74, 115, 100, 62, 88, 85, 61, 60, 135, 87"
57,"23, 45, 16, 75, 53, 38, 62, 96, 119, 28"
58,"119, 62, 58, 85, 74, 50, 46, 104, 61, 108"
59,"62, 61, 85, 64, 119, 74, 88, 60, 135, 84"
60,"58, 109, 94, 28, 126, 97, 125, 51, 50, 75"
61,"61, 62, 85, 100, 24, 50, 119, 88, 87, 135"
62,"60, 85, 62, 135, 100, 115, 58, 74, 87, 50"
63,"100, 60, 61, 85, 88, 64, 58, 74, 87, 119"
64,"74, 108, 113, 122, 75, 82, 58, 68, 135, 124"
65,"88, 62, 135, 74, 7, 58, 60, 119, 100, 61"
66,"12, 3, 134, 46, 2, 48, 21, 16, 68, 74"
67,"41, 132, 33, 36, 52, 74, 24, 88, 125, 7"
68,"49, 45, 76, 39, 17, 137, 16, 22, 28, 132"
69,"84, 74, 46, 86, 63, 16, 65, 72, 104, 108"
70,"118, 48, 73, 6, 34, 15, 19, 27, 130, 47"
71,"110, 91, 36, 45, 123, 43, 46, 17, 58, 86"
72,"108, 103, 53, 114, 89, 7, 51, 109, 16, 76"
73,"97, 104, 84, 37, 10, 122, 4, 83, 21, 68"
